"312.4333801269531,775.2289428710938","305.27764892578125,811.398681640625","304.0185852050781,844.0254516601562","312.2911682128906,885.8802490234375"
"322.1885986328125,776.514892578125","314.730224609375,812.4215087890625","313.28802490234375,845.183349609375","320.2720947265625,887.2446899414062"
"332.1871643066406,779.0452270507812","323.2654113769531,814.7211303710938","321.4468688964844,847.7259521484375","327.16357421875,890.1192626953125"
"341.7020568847656,782.0518188476562","332.07623291015625,817.2687377929688","329.0544738769531,850.4703979492188","334.1835632324219,893.112548828125"
"351.25567626953125,785.0633544921875","340.8152160644531,819.9490966796875","337.1197204589844,853.2915649414062","341.7831115722656,895.8569946289062"
"361.2752990722656,787.2935180664062","350.2750244140625,821.9788818359375","346.0834045410156,855.371337890625","351.0312805175781,898.0643920898438"
"372.0007629394531,788.8333740234375","361.07928466796875,823.4188842773438","356.5870056152344,856.7288818359375","361.6127014160156,899.5899658203125"
"383.2920227050781,790.06298828125","372.3702697753906,824.4552612304688","367.90313720703125,858.00830078125","372.7169189453125,900.897705078125"
"393.8972473144531,791.7931518554688","382.33221435546875,826.3373413085938","377.9924621582031,859.7501831054688","381.95330810546875,902.8753051757812"
"407.1223449707031,791.607666015625","394.8548889160156,826.0020751953125","390.54443359375,859.6641845703125","395.0442199707031,902.1600341796875"
"419.34136962890625,791.8694458007812","407.0929260253906,826.0147094726562","403.3392333984375,859.4638671875","407.4517822265625,902.1644897460938"
"429.3382568359375,793.0183715820312","417.08026123046875,827.0833740234375","413.08685302734375,860.7697143554688","417.0726623535156,903.735107421875"
"440.105224609375,793.5358276367188","427.84869384765625,827.6100463867188","424.45989990234375,860.9461059570312","428.194580078125,903.9597778320312"
"450.77227783203125,794.18896484375","437.6864013671875,828.4285278320312","434.5585021972656,861.596923828125","438.3619079589844,904.9070434570312"
"461.8016357421875,794.7403564453125","449.0085144042969,828.9570922851562","445.46466064453125,862.158935546875","449.9165344238281,905.2752075195312"
"472.8742370605469,795.7695922851562","459.804931640625,829.9868774414062","456.29364013671875,863.1981201171875","460.7166442871094,906.4446411132812"
"483.77569580078125,796.9869384765625","471.008544921875,831.1708984375","467.3035583496094,864.2529907226562","471.4380798339844,907.7454223632812"
"494.91156005859375,797.968017578125","482.2955627441406,832.1827392578125","478.9687194824219,865.1952514648438","482.78814697265625,908.7752075195312"
"506.4168395996094,798.98486328125","493.3401794433594,833.1918334960938","490.09149169921875,866.2007446289062","494.21075439453125,909.8972778320312"
"518.3236083984375,800.2227783203125","504.40631103515625,834.3181762695312","501.6383972167969,867.4517822265625","505.8800048828125,910.9639892578125"
"529.3478393554688,801.3274536132812","515.81201171875,835.4530029296875","512.9962158203125,868.3892822265625","516.9931030273438,912.3047485351562"
"540.9812622070312,802.5824584960938","527.512939453125,836.76171875","524.7857666015625,869.6820678710938","528.2693481445312,913.3955078125"
"552.5314331054688,803.8754272460938","539.0513916015625,837.991455078125","536.1764526367188,871.0250244140625","540.286865234375,914.8219604492188"
"564.0587158203125,805.3124389648438","550.5440063476562,839.46142578125","548.0692138671875,872.2945556640625","551.6580810546875,916.2559814453125"
"575.3441772460938,806.6885375976562","562.0643310546875,841.0053100585938","559.5098266601562,873.6339111328125","563.3785400390625,917.818603515625"
"587.093505859375,807.683349609375","573.3991088867188,841.966064453125","571.4493408203125,874.5054321289062","575.0650024414062,918.8218383789062"
