"13.791128158569336,1037.3077392578125","19.344417572021484,989.70166015625","18.181514739990234,951.4132080078125","32.12016296386719,914.613037109375"
"13.652780532836914,1037.15380859375","18.983320236206055,989.1348266601562","18.00446891784668,951.2977294921875","32.040016174316406,914.5861206054688"
"13.319957733154297,1037.114501953125","19.12274169921875,988.8663330078125","17.84393882751465,951.2868041992188","31.908010482788086,914.4456176757812"
"13.344862937927246,1037.0775146484375","18.23596954345703,988.1091918945312","17.87076187133789,951.120361328125","31.79726219177246,914.265625"
"13.330591201782227,1036.81640625","18.341121673583984,987.8905639648438","17.912538528442383,950.9609985351562","31.68677520751953,914.0991821289062"
"13.506957054138184,1036.5869140625","19.01772117614746,987.8897705078125","18.027891159057617,950.79638671875","31.667524337768555,913.9136352539062"
"13.879688262939453,1036.4427490234375","18.918346405029297,987.3076782226562","18.182544708251953,950.6943969726562","31.81142807006836,913.9072875976562"
"15.48154354095459,1037.58642578125","22.03851318359375,987.651611328125","20.1234130859375,951.624755859375","34.698036193847656,914.7471923828125"
"19.495718002319336,1039.17529296875","26.183353424072266,989.6976928710938","24.854360580444336,953.0333251953125","39.6981315612793,916.151123046875"
"24.401046752929688,1041.7113037109375","30.639476776123047,992.3997802734375","30.963369369506836,955.3546142578125","45.7810173034668,918.6930541992188"
"29.67597198486328,1044.419921875","36.769466400146484,995.0272216796875","37.17148208618164,957.95458984375","52.39523696899414,921.373291015625"
"36.505836486816406,1046.382080078125","45.71807098388672,997.920654296875","44.37295913696289,959.8823852539062","59.93386459350586,923.6555786132812"
"44.134098052978516,1047.60986328125","51.71543884277344,1000.1392822265625","52.11390686035156,961.0582885742188","68.12757110595703,925.042236328125"
"53.18511962890625,1048.3040771484375","59.61705017089844,1000.843994140625","61.2381706237793,961.8240966796875","76.54340362548828,925.7910766601562"
"63.37970733642578,1048.611572265625","72.15415954589844,1001.62158203125","70.83171081542969,962.0317993164062","86.86637878417969,925.9973754882812"
"73.3079833984375,1048.9774169921875","82.25157165527344,1002.5986938476562","81.15473175048828,962.4354858398438","97.38174438476562,926.25390625"
"84.53546142578125,1049.472900390625","91.9388427734375,1002.5992431640625","92.29979705810547,962.8633422851562","108.38427734375,926.8488159179688"
"96.11328887939453,1049.504150390625","102.4574203491211,1002.8951416015625","103.53607177734375,962.8871459960938","119.54762268066406,927.0025024414062"
"108.20624542236328,1049.6588134765625","115.05281066894531,1003.406982421875","115.85777282714844,962.8810424804688","131.68441772460938,927.0045166015625"
"120.17110443115234,1049.5386962890625","127.13522338867188,1003.078369140625","127.66912078857422,962.8666381835938","143.7672882080078,927.0181884765625"
"132.17160034179688,1049.53857421875","138.9662322998047,1003.0714721679688","139.6855926513672,962.7718505859375","155.50210571289062,927.0341796875"
"144.2644500732422,1049.78662109375","151.02032470703125,1003.0944213867188","151.5747528076172,962.9977416992188","167.82388305664062,927.2557983398438"
"157.3050537109375,1050.0123291015625","164.66294860839844,1003.286865234375","164.62496948242188,963.2083740234375","180.29469299316406,927.5323486328125"
"169.42214965820312,1050.263671875","176.35568237304688,1003.2177124023438","176.3921661376953,963.49365234375","192.48011779785156,927.904296875"
"181.8411865234375,1050.1888427734375","188.7667694091797,1003.4409790039062","188.4715118408203,963.5067138671875","204.4776153564453,927.9063110351562"
"193.71246337890625,1050.3662109375","200.64590454101562,1003.4030151367188","200.47361755371094,963.5263671875","216.48426818847656,927.9345092773438"
"205.55426025390625,1050.967529296875","213.48410034179688,1004.1311645507812","212.1925506591797,963.987060546875","228.3693084716797,928.4130859375"
"217.43125915527344,1051.4736328125","226.0623779296875,1004.74169921875","224.47537231445312,964.4696044921875","240.4967803955078,928.9531860351562"
"229.55287170410156,1051.804931640625","235.62985229492188,1003.7991943359375","235.94044494628906,964.91357421875","252.83087158203125,929.300537109375"
"241.34774780273438,1052.13525390625","247.9305877685547,1004.6553955078125","248.05953979492188,965.2649536132812","264.2279968261719,930.021728515625"
"252.94000244140625,1052.7451171875","260.5725402832031,1005.7728271484375","259.5750732421875,965.8385620117188","276.0430603027344,930.5009765625"
"265.1474304199219,1053.0052490234375","272.6512451171875,1005.9442749023438","271.57305908203125,966.08544921875","288.1336364746094,930.824462890625"
"276.3102722167969,1053.9376220703125","284.235595703125,1006.9226684570312","282.995361328125,966.8866577148438","299.4370422363281,931.8065795898438"
"288.5965270996094,1053.9339599609375","295.5474853515625,1006.5881958007812","294.2364807128906,966.8074340820312","310.8594665527344,931.736328125"
"299.2019348144531,1052.6365966796875","305.1661376953125,1005.1229248046875","304.0276794433594,965.7014770507812","318.63934326171875,930.6004638671875"
"309.728271484375,1049.63525390625","312.6929931640625,1000.1539306640625","312.4815368652344,963.089111328125","326.286376953125,927.6198120117188"
"319.5570983886719,1045.5196533203125","319.1142578125,995.7098999023438","319.5868225097656,959.4337768554688","332.5276184082031,923.4517822265625"
"328.0096435546875,1041.11669921875","333.81988525390625,992.1868896484375","325.7991638183594,955.5508422851562","338.89288330078125,918.90185546875"
"335.9643859863281,1037.7374267578125","350.3307800292969,989.748046875","332.5334167480469,952.25390625","346.7608337402344,915.2186279296875"
"344.735595703125,1034.9818115234375","357.7195739746094,985.7135620117188","340.1405944824219,949.922119140625","354.203125,912.8566284179688"
"353.9768981933594,1033.0833740234375","368.2193298339844,984.1058349609375","349.40399169921875,947.8173828125","363.7990417480469,910.9778442382812"
"364.1544189453125,1031.6231689453125","376.29840087890625,982.9041748046875","359.0542297363281,946.3911743164062","373.61834716796875,909.7080688476562"
"375.15081787109375,1030.3421630859375","405.50897216796875,988.7694091796875","369.92620849609375,945.2655029296875","384.3779602050781,908.4737548828125"
"386.7152404785156,1029.836181640625","416.85308837890625,987.819580078125","381.4889221191406,944.841064453125","395.88323974609375,907.9560546875"
"398.3677673339844,1029.48974609375","428.9359436035156,987.2517700195312","392.7390441894531,944.1817016601562","407.32586669921875,907.7185668945312"
"410.0470275878906,1028.9876708984375","440.60089111328125,986.9765014648438","404.2532653808594,943.7490234375","419.0901794433594,907.2215576171875"
"421.1999816894531,1028.7606201171875","451.5651550292969,986.90478515625","415.7479553222656,943.3677368164062","430.82470703125,906.9935913085938"
